0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
80.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,-1.0,-1.0,-1.0,41.17278291186876,33.27451532737106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,-1.0,-1.0,-1.0,36.48615086897513,29.732532003924153,29.843205679537192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,-1.0,-1.0,42.759087340231744,31.83971936107639,27.35860477198207,27.900583542891926,29.084480372719124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-1.0,-1.0,31.479645026469434,29.45677267496278,24.957191606823777,26.022307220119895,27.747489789533716,28.984217832589028,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-1.0,35.38823785626018,28.6083099581845,27.99684455358451,23.623127284109486,24.36145494103947,26.079439917294803,28.35123735563986,29.778979527048676,0.0,0.0,0.0,0.0,0.0
35.0,-1.0,26.856069614375322,25.61188689497767,26.132680736792796,21.915493294863868,22.980069427706837,25.61791830250448,27.589991360744506,29.84419683262347,33.27998250602797,0.0,0.0,0.0,0.0
30.0,-1.0,23.311184268810994,23.549683443050107,23.983120199657215,20.481720085369805,22.27896659443024,24.889869826454234,27.442917523752634,30.91424183196749,37.05920162942792,-1.0,0.0,0.0,0.0
25.0,25.404821718115425,20.389721540866333,20.54641863625872,22.78604767685467,20.253663373621972,23.848888046193675,28.564011578172508,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
20.0,19.041119965805837,18.1382093024117,19.725650314970395,22.34591515749314,21.890049647683004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
15.0,16.20142679414628,19.19875238515321,30.7389279045681,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
