0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
80.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,-1.0,-1.0,-1.0,44.03925055701542,36.97326151690018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,-1.0,-1.0,-1.0,35.23512797762929,32.516994510578485,31.268700637554417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,-1.0,-1.0,-1.0,29.851190645014434,28.735827248237825,27.614087332455856,27.84608042534206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-1.0,-1.0,31.744005945583012,26.14455164048305,25.64331703666015,25.128028742647913,25.22521940055326,25.49469502043664,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-1.0,36.641624761709096,25.705910589949465,23.183958453447286,22.66981631182506,22.3579430055183,22.536930819220856,23.08122860306788,24.018456912899964,0.0,0.0,0.0,0.0,0.0
35.0,-1.0,25.29972259974113,21.721488018333034,20.146333491484462,20.18570424667746,20.24082120223233,20.681381398126714,21.34339989892743,22.17118720528263,22.843877719914936,0.0,0.0,0.0,0.0
30.0,-1.0,19.634465965948685,17.937753121515236,17.32710595974172,17.77800340601724,17.96307086242788,18.700960503062095,19.44583537776494,20.039601132137157,20.905218337558026,22.209113677993127,0.0,0.0,0.0
25.0,23.97529730885511,15.509482182337292,15.111068560781252,15.04552614543948,15.3947247628332,16.06222540084172,17.168572999992328,17.78526026474269,18.888877337390774,19.625806723379057,20.52237722147739,21.16059669298336,0.0,0.0
20.0,15.03867721741302,12.399794216042006,12.42003604145473,12.838066362212086,13.619769889676444,14.679505159783899,15.203799624841539,16.24261937935508,17.1159213360161,17.801378515021675,18.935393113342545,19.5051975580309,20.717278164773717,0.0
15.0,10.758458957860201,10.144859778122681,10.50400303079785,11.168021878084593,11.94588843478858,12.780153527947387,13.840981506977087,14.722703938698327,15.751515262202044,16.675149201377934,17.629346185830677,18.005660234584795,19.299644742764904,20.20292570080417
0.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
