0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
80.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.3347118109967,35.98768836645399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.65675282275866,32.21487023283835,32.86675786549921,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-1.0,-1.0,-1.0,34.29398028016383,30.30187031468039,29.084756155904795,29.849344091875324,30.45987160950265,30.84717625862985,0.0,0.0,0.0,0.0,0.0
35.0,-1.0,-1.0,-1.0,26.56477116276924,26.698427258274037,26.285462024657345,27.435265913498128,28.147045895245114,29.76447367026464,30.546232681547593,0.0,0.0,0.0,0.0
30.0,-1.0,-1.0,27.51897168154705,22.6369052543909,23.137791743584906,23.671416190670726,25.047706659278724,25.928834842682633,27.771411886300438,29.535197923483764,31.299563481709278,0.0,0.0,0.0
25.0,-1.0,25.188028881621225,20.55266391959662,19.454680377651325,20.902263608710253,21.634088042369182,23.511447031813262,24.821820842982618,27.03781794960714,29.387585747298324,34.61120135782205,-1.0,0.0,0.0
20.0,-1.0,17.002973932735255,17.224831161895604,17.35883198664339,19.075576421232885,20.83889192383645,22.107540535635504,26.194073528588206,31.902992041626828,-1.0,-1.0,-1.0,-1.0,0.0
15.0,17.204860730769322,13.780335446067681,15.381203735713061,17.203973826638506,20.84668832426164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
