0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,
75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,
70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.94320678557588,,,,,
65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.32039923036635,45.68881882132818,45.12734820249041,,,,
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.65530130826775,42.44116861717305,42.62637380403041,42.78869198570389,43.43824224194911,,,
55.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.65207048047039,40.3311422217984,38.878208797679136,39.92516227118077,40.37335875884988,42.61461937339969,42.57212364356338,,
50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.93755780446281,36.25443685446395,36.45366736082396,37.82916186489177,38.80232725846645,39.66303659195185,41.08030341946755,43.40919434044783,
45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.56649033497985,32.78707539520677,34.28051893110923,35.72560687698925,36.793252337734586,37.939088902839245,39.9038980480384,42.126751417876335,44.632421788287246
40.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.080734296246135,30.767623733090108,29.700672786857893,30.9217669939874,31.88070604451105,33.25714303531711,34.99139812175589,37.4291895021091,39.03852061745422,41.35183520033131,44.79047547367608
35.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.62972880287476,26.73951917333214,27.18213074752446,28.877650244491434,29.933451474308903,32.19079933432826,34.54411676383543,37.81630131528768,41.41368330720371,-1.0,-1.0
30.0,-1.0,-1.0,-1.0,-1.0,27.441026546523744,23.142919278367064,24.11522974408146,25.365366679173547,27.310146334886063,29.00451233637521,31.998408816154598,36.08230249229008,-1.0,-1.0,-1.0,-1.0
25.0,-1.0,-1.0,-1.0,24.361604456887672,21.21114706797657,21.048093290316267,22.744686819648628,24.89641795916828,27.860451937182543,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20.0,-1.0,-1.0,-1.0,17.10024243607814,17.83572343008226,19.45350368697712,22.694328943164816,29.01510818679123,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15.0,-1.0,-1.0,17.155306723381475,15.154513773740153,19.55099425409101,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10.0,-1.0,16.039052054737844,13.999867901375085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
