0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,
75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,
70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.37178828320979,-1.0,,,
55.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.24835779344109,49.14856089468508,48.23897946743661,,
50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.31375007901611,44.01083432425413,45.16971177588885,45.130698103537824,46.28677127196927,
45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.85305173362953,41.171891998225405,41.060388272417015,40.53157693458851,42.358445254228215,41.67770709835759,42.84425161930823,43.42406916273375
40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.15480323215589,38.66338823907165,36.317215268373786,38.11974590214352,37.418634732710224,38.43956287963068,38.25545505589026,39.58172789275114,40.01131756040655
35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.4743458498932,33.18187603910417,32.85905358939124,34.02189137184082,34.143677303965646,35.34541414146916,35.64628574659813,37.0419295568898,37.18739852929264
30.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.920105424316354,30.173970791419983,28.834387387027892,29.494794203282787,29.380906044311075,30.520153456847144,30.93115315658415,32.457708629410924,32.26520996918688,33.87354957132095,35.053606586194924
25.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.204594742579964,25.42331224912148,25.171214575820954,26.395818620708997,26.667463556571665,27.74485118621588,28.29578180219576,29.743097921441954,30.132987276067453,31.875418618064217,31.875579468600375
20.0,-1.0,-1.0,-1.0,-1.0,23.382239819905237,20.7273069231455,21.77668449007569,21.68014108444065,23.66809781176317,23.792385676381222,25.52445346225713,25.88797519255126,27.550309795416908,28.46248058755394,30.348440063352943,32.46143390511474
15.0,-1.0,-1.0,-1.0,17.786310105063126,17.57335414943715,17.583718332730275,18.838572675096444,19.853666031154237,21.522257672679903,22.50064541287995,26.358511117780917,-1.0,-1.0,-1.0,-1.0,-1.0
10.0,-1.0,-1.0,16.10192400990654,13.06384569645431,14.446247409649704,15.555904212075417,18.24139375975662,22.9349956918663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.0,-1.0,12.001792832063671,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
