0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,
75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,
70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.34012419348496,,,,,
65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.04236229893392,49.41111343788582,49.75422492712047,,,,
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.50038022070008,44.7824798238309,46.240189095352285,47.36530052872576,49.775875321186646,,,
55.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.90799148889681,42.50084008670574,42.546999845337695,44.51417921405203,46.05044583735416,49.37804007339625,51.62948626566244,,
50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.96440619673217,38.78738287820531,39.64044202129608,42.339176889390494,44.39005320631201,48.39045352469605,-1.0,-1.0,
45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.22871803938645,35.53144851599677,37.46463608477109,39.27647332694608,42.375054005233125,46.70291518615724,-1.0,-1.0,-1.0,-1.0
40.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.05718565851646,32.381912442375835,32.979169746539,35.680574654172815,37.93212605601754,44.106851288853846,-1.0,-1.0,-1.0,-1.0,-1.0
35.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.69471099362673,30.453013917794426,32.4125554889022,37.40729955146296,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30.0,-1.0,-1.0,-1.0,-1.0,28.202485545193024,26.13593078735091,29.11267475946645,33.155023537604166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25.0,-1.0,-1.0,-1.0,26.03841745276304,23.780846586085524,27.13061496522397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20.0,-1.0,-1.0,-1.0,19.906524200402124,26.579735741931525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15.0,-1.0,-1.0,20.92380088619347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10.0,-1.0,19.767533301131078,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
