0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
80.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,-1.0,-1.0,-1.0,-1.0,5.168273630886114,4.763215678068928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,-1.0,-1.0,-1.0,5.387314307999,4.941098467586446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-1.0,-1.0,-1.0,5.109326776156112,4.810754326999389,0.0,4.700428477847428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-1.0,-1.0,-1.0,4.519425829124629,4.9291081677434345,4.466338164386248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,-1.0,-1.0,5.179942393692166,4.523498076965039,4.728242007112886,0.0,4.604823055652868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,-1.0,5.416404040270293,4.916951176298289,4.587965964595866,4.573902326833771,4.424769930995584,4.498588673875674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,-1.0,4.623227005808707,4.817458958081398,4.346477502567813,6.871493555989218,2.312690854712855,2.4134291356313042,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
20.0,5.593940143475154,4.341853743714795,4.563674329852117,4.221217597236881,4.525801937219441,4.619046346083918,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
15.0,4.949506180881536,4.459506957557239,4.660345418099319,4.581428351110718,4.606880186710048,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
