0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
80.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,-1.0,-1.0,-1.0,37.18885504700072,33.09107961411143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,-1.0,-1.0,-1.0,35.289694617574064,29.987598375229116,30.01634162180374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,-1.0,-1.0,-1.0,32.52390886316386,27.781376263438478,27.7621396967748,29.526756930356783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-1.0,-1.0,33.636217143346556,28.589650340158446,25.5349423730365,26.281900908870497,27.89072911093898,29.14322464343045,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-1.0,35.09771734056331,26.498208921329987,27.89974503834839,23.341885853139587,24.248997826353634,26.117879084626754,28.19910739260484,29.771632554948237,0.0,0.0,0.0,0.0,0.0
35.0,-1.0,26.66976750815684,25.690043762116765,20.716264842854073,22.219841910423437,23.331888090744222,25.089538284907054,27.62560787169422,29.82487816141436,32.86403464869333,0.0,0.0,0.0,0.0
30.0,-1.0,22.839005360824345,23.682430205640628,23.766844572100723,20.652113198935552,22.448709941884957,25.02086493161725,27.0817007277341,30.502911839948617,35.70217220659253,-1.0,0.0,0.0,0.0
25.0,25.37257494670315,20.33008761353877,16.31976518618047,22.62746899710096,25.198356323237565,23.65449748955075,29.340163916679945,43.89439272452497,-1.0,-1.0,-1.0,-1.0,0.0,0.0
20.0,18.66094234117999,18.45650899928911,19.89878897266789,17.536897877183815,22.695608338708936,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
15.0,16.272758185177604,18.16247329289211,30.323604143500788,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
