0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
80.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,-1.0,-1.0,-1.0,-1.0,18.596711289378117,17.40321314921442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,-1.0,-1.0,-1.0,-1.0,17.346365112856688,16.879488308252128,17.171399468462678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-1.0,-1.0,-1.0,17.265004512159525,16.793770792507196,16.813498533103463,17.3464370732038,17.787409530125636,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-1.0,-1.0,-1.0,17.12555290878313,17.328739782262573,16.915891596755504,17.078982637592507,17.666855152582798,16.897162967935373,0.0,0.0,0.0,0.0,0.0
35.0,-1.0,-1.0,17.544856926716772,17.640261287177815,17.49402224214176,17.358271572619408,17.296053301258148,16.312363986244282,16.85241469118552,17.27147732090286,0.0,0.0,0.0,0.0
30.0,-1.0,-1.0,16.775678524758106,16.71372861409001,16.636276759839646,17.77021074707513,17.138434007936905,16.628961491219414,16.649534808912172,16.368684386609523,17.4091022557234,0.0,0.0,0.0
25.0,-1.0,17.441770698440617,17.31444549756834,16.836247226572365,16.81176968167695,16.86200671141055,17.262037365512825,16.925821404260493,17.731552630978584,16.922372267979227,16.441173806519437,17.02884475136401,0.0,0.0
20.0,18.614274251944238,17.08516421934079,16.982279586618144,16.59226237964922,17.53603600174707,17.15739830579466,17.14781693693801,16.809849421810487,17.062312958709953,16.753364784252174,16.978228390564336,16.96239184001566,17.005704678268604,0.0
15.0,17.37991852727291,16.60397095929304,16.331918364744674,16.699269960714272,18.038934876833732,16.809594383989975,17.17487041412423,17.983819907855302,16.51633038421188,16.473003457738344,17.264072997594685,16.646012492111158,16.89002422305581,16.85220277782047
0.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
