0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
80.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0006968641114982578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1767815605836329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-1.0,-1.0,-1.0,0.18954531394989174,0.19521284653840326,0.1833377413382703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,-1.0,-1.0,-1.0,0.1332263242375602,0.1666158536585366,0.0,0.0005376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,-1.0,-1.0,0.1963768115942029,0.18611570247933884,0.17487895186556537,0.1540360240160107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,-1.0,0.18935978358881875,0.1946992864424057,0.18270491803278688,0.1837783034809057,0.0,0.0,0.0,0.0,6.295247088448222e-05,0.0,-1.0,0.0,0.0
20.0,-1.0,0.19561855670103093,0.17898666666666666,0.18628526645768026,0.1770357751277683,0.19302028138132651,0.0015845070422535212,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
15.0,0.1981981981981982,0.19178910976663785,0.18335870116692035,0.19450507125433303,0.19470403524394245,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
